sentence_masked,sentence,aspect,polarity,polarity_label
But the $T$ was so horrible to us .,But the staff was so horrible to us .,staff,-1,negative
"To be completely fair , the only redeeming factor was the $T$ , which was above average , but could n't make up for all the other deficiencies of Teodora .","To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",food,1,positive
"The $T$ is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",food,1,positive
"The food is uniformly exceptional , with a very capable $T$ which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",kitchen,1,positive
"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the $T$ or not .","The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",menu,0,neutral
"Not only was the $T$ outstanding , but the little ` perks ' were great .","Not only was the food outstanding , but the little ` perks ' were great .",food,1,positive
"Not only was the food outstanding , but the little ' $T$ ' were great .","Not only was the food outstanding , but the little ' perks ' were great .",perks,1,positive
Our agreed favorite is the $T$ -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,orrechiete with sausage and chicken,1,positive
Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the $T$ are kind enough to split the dish in half so you get to sample both meats -RRB- .,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,waiters,1,positive
Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both $T$ -RRB- .,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,meats,0,neutral
